gname	totalEvents	totalKilled	totalWounded	foreignTarget	ratioForeignTarget
Huthis	14	144	32	1	0.0714285714285714
Hutus	167	4083	872	11	0.0658682634730539
Hutus Former Soldiers	5	49	14	1	0.2
Hynniewtrep National Liberation Council (HNLC)	1	1	0	1	1
Iberian Anarchist Federation	3	4	0	0	0
Iberian Liberation Movement (MIL)	10	1	2	1	0.1
Iconoclasts	1	0	0	0	0
Idealist Association	3	1	1	0	0
Idriss Miskine Group	1	0	25	1	1
Igbo tribal group	1	0	0	0	0
Ijaw militants	5	7	1	2	0.4
Ikhwan Jammu and Kashmir	2	5	0	0	0
Ikhwan-ul-Muslimeen	3	0	0	0	0
Illuminating Paths of Solidarity	6	0	0	0	0
Imam Hussein Brigade	1	1	0	0	0
Imperial Iranian Patriotic Organization	1	0	0	1	1
Independence Advocates	1	0	0	0	0
Independent Albanian Movement	1	0	0	1	1
Independent Armed Revolutionary Commandos (CRIA)	19	0	4	2	0.105263157894737
Independent Nasserite Movement	2	0	0	0	0
Independent Peasants Union	5	1	0	0	0
Indian Mujahideen	12	51	222	1	0.0833333333333333
Indian Tigers	1	0	0	0	0
Indians	1	0	3	0	0
Indigenous People's Federal Army (IPFA)	1	0	0	0	0
Indipendenza	10	0	0	10	1
Individual	346	654	1936	46	0.132947976878613
Individuals claimed to be policemen	1	0	0	0	0
Individuals Tending Toward Savagery	1	0	1	0	0
Informal Anarchist Federation	21	0	8	7	0.333333333333333
Ingush Rebels	2	10	0	0	0
Initiative de Resistance Internationaliste	1	0	0	0	0
Inkatha Freedom Party (IFP)	50	345	192	0	0
Inkotanyi	2	0	0	0	0
Institutional Revolutionary Party (PRI)	14	100	2	0	0
Insurgency Commune	1	1	6	0	0
Insurgents	13	27	20	3	0.230769230769231
Internal Front	1	0	0	0	0
International Anti-Communist Intelligence Service	1	1	0	0	0
International Committee Against Nazism	5	0	0	0	0
International Communist Brigade	1	0	0	0	0
International Communist Group	2	0	1	1	0.5
International Justice Group (Gama'a al-Adela al-Alamiya)	1	1	0	1	1
International Mercenary Brigade	2	2	4	0	0
International Movement of the Prolitariat	1	0	0	0	0
International Proletarian Groups	1	0	0	1	1
International Revolutionary Action Group (GARI)	25	0	2	18	0.72
International Revolutionary Solidarity	6	0	0	2	0.333333333333333
International Solidarity	2	0	0	0	0
Internationalist Cells	3	0	0	3	1
Intifada Martyrs	1	2	5	1	1
Into the Blue Commando of the Revolutionary Cells	2	0	0	0	0
Iparretarrak (IK)	57	2	4	0	0
Iranian dissident group	1	1	0	0	0
Iranian exiles	1	0	1	1	1
Iranian Extremists	2	0	0	1	0.5
Iranian Militants	1	0	1	1	1
Iranian Monarchists	1	0	0	0	0
Iranian Revolution Organization	1	1	0	1	1
Iranians	17	9	6	14	0.823529411764706
Iraq's Jihadist Leagues	3	0	7	1	0.333333333333333
Iraqi Communists	2	0	0	2	1
Iraqi Democratic Front	2	0	0	2	1
Iraqi Islamic Vanguards for National Salvation (IIVNS)	2	1	13	0	0
Iraqi Liberation Army	1	66	100	1	1
Iraqi Moslems	1	0	0	0	0
Iraqi Mujahideen	9	24	147	7	0.777777777777778
Iraqi National Congress (INC)	2	0	0	1	0.5
Iraqi Revolutionary Forces	4	4	0	0	0
Iraqi Strugglers' Movement	1	0	0	1	1
Iraqi Sunni Insurgents	1	6	20	0	0
Iraqis	7	0	8	5	0.714285714285714
Irian Jaya Rebels	2	2	0	1	0.5
Irianese Tribesmen	2	0	15	1	0.5
Irish National Liberation Army (INLA)	122	105	96	38	0.311475409836066
Irish People's Liberation Organization (IPLO)	21	16	6	0	0
Irish Republican Army (IRA)	2673	1809	3443	846	0.316498316498317
Irish Republican Extremists	93	89	15	12	0.129032258064516
Isatabu Freedom Movement (IFM)	1	0	0	0	0
Islam Liberation Front	2	2	0	0	0
Islambouli Brigades of al-Qa'ida	5	120	151	0	0
Islamic Action Organization	1	0	4	1	1
Islamic Arab Front of Azawad (FIAA)	2	60	0	0	0
Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq)	8	21	35	4	0.5
Islamic Brotherhood	1	0	0	1	1
Islamic Cause Organization	2	0	3	1	0.5
Islamic Companies	1	5	0	1	1
Islamic Courts Union (ICU)	12	8	14	3	0.25
Islamic Defenders' Front (FPI)	2	1	5	1	0.5
Islamic Fateh	1	1	1	0	0
Islamic Front	2	14	33	0	0
Islamic Front for the Liberation of Bahrain	1	0	4	0	0
Islamic Front for the Liberation of Palestine (IFLP)	1	0	0	0	0
Islamic Golden Army	1	0	0	1	1
Islamic Holy Star	1	0	0	0	0
Islamic Jihad Beit-al Maqdis Group	1	0	5	0	0
Islamic Jihad Brigades	1	0	0	1	1
Islamic Jihad Group (IJG)	3	7	6	2	0.666666666666667
Islamic Jihad Organization (Yemen)	2	3	1	1	0.5
Islamic Jihad Union (Uzbekistan)	2	3	6	0	0
Islamic Legion	1	14	1	0	0
Islamic Liberation Organization	1	0	0	1	1
Islamic Movement for Change	1	15	50	0	0
Islamic Movement of Kashmir	1	0	1	0	0
Islamic Movement of Martyrs	1	1	0	0	0
Islamic Movement of Uzbekistan (IMU)	4	25	65	2	0.5
Islamic Movement Organization	2	1	0	1	0.5
Islamic Mujahidin	3	2	0	1	0.333333333333333
Islamic Party (Somalia)	2	3	2	0	0
Islamic Party of Kenya (IPK)	3	0	5	0	0
Islamic Renewal Movement	1	0	1	1	1
Islamic Revenge Organization	2	1	3	1	0.5
Islamic Revival Movement	1	2	2	1	1
Islamic Revolutionary Command	1	0	0	1	1
Islamic Salvation Front (FIS)	153	211	211	7	0.0457516339869281
Islamic Salvation Front (Palestine)	1	0	1	0	0
Islamic Shashantantra Andolon (ISA)	2	3	125	0	0
Islamic State of Iraq (ISI)	185	1903	4972	3	0.0162162162162162
Islamic Struggle Front	1	0	0	0	0
Islamic Swords of Justice in the Land of Ribat	1	0	0	1	1
Islamic Tendency	1	2	4	0	0
Islamic Unification Movement	1	21	75	0	0
Islamist Extremists	194	1158	986	8	0.0412371134020619
Islamist Sufi Group	1	1	2	0	0
Israel Militant	1	0	1	1	1
Israeli Extremists	4	3	6	1	0.25
Israeli Settler	19	55	134	4	0.210526315789474
Israeli Terrorist Group	4	0	6	1	0.25
Issa and Gurgura Liberation Front	1	100	0	0	0
Issui Kai	1	0	0	0	0
Italian Combatents for Alto Adige	1	0	0	0	0
Italian Extreme Nationalist Organization	1	0	0	0	0
Italian Social Movement (MSI)	17	10	7	0	0
Italians Attacking Policies of the Regional  SVP	1	0	0	1	1
Itsekiri	1	10	4	0	0
Ittehad-i-Islami	2	0	0	1	0.5
Ivorian Popular Front	1	0	0	0	0
Jacinto Araujo Internationalist Rebel Insurrectionist Brigade	1	0	0	0	0
Jacques de Molay Group	1	0	0	0	0
Jadid Al-Qa`idah Bangladesh (JAQB)	3	0	1	0	0
Jagrata Towhidi Janata (Rising Faithfuls)	1	0	0	0	0
Jaime Bateman Cayon Group (JBC)	6	1	14	0	0
Jaish al-Ta'ifa al-Mansura	2	4	37	1	0.5
Jaish Al-Umma (Army of the Nation)	1	0	0	0	0
Jaish-e-Mohammad (Iraq)	1	0	0	1	1
Jaish-e-Mohammad (JeM)	22	56	140	2	0.0909090909090909
Jama'atul Mujahideen Bangladesh (JMB)	20	38	318	0	0
Jamaah Ansharut Tauhid (JAT)	2	2	51	0	0
Jamaat-al-Fuqra	5	1	2	1	0.2
Jamaat-E-Islami (Bangladesh)	15	29	383	0	0
Jamaat-E-Islami (India/Pakistan)	10	7	103	1	0.1
Jamaica Labor Party	2	10	16	0	0
Jamiat ul-Mujahedin (JuM)	9	43	100	0	0
Jamiat-e Islami-yi Afghanistan	3	5	3	1	0.333333333333333
Jammu and Kashmir Islamic Front	3	21	91	0	0
Jammu and Kashmir Liberation Front	55	66	50	2	0.0363636363636364
Janatantrik Terai Madhesh Mukti Morcha (JTMMM)	6	2	1	0	0
Janatantrik Terai Mukti Morcha (JTMM)	26	7	36	0	0
Janatantrik Terai Mukti Morcha- Bisphot Singh (JTMM-B)	3	0	0	0	0
Janatantrik Terai Mukti Morcha- Goit (JTMM-G)	27	14	2	0	0
Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J)	78	32	37	0	0
Janatantrik Terai Mukti Morcha- Prithvi Singh (JTMM-P)	2	0	4	0	0
Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R)	13	11	15	0	0
Janatantrik Terai Mukti Morcha- Ranbir Singh (JTMM-RS)	1	0	0	0	0
Janjaweed	8	185	67	0	0
January 22	2	1	0	0	0
Japan National Youth Alliance	1	0	0	0	0
Japan Socialist Youth League of the Revolutionary Workers' Association	1	3	0	0	0
Japanese Independence Patriotic Party	1	1	2	0	0
Japanese Red Army (JRA)	9	31	89	5	0.555555555555556
Jarnail Khalsa	1	2	3	0	0
Jarrai	2	0	0	0	0
Jatav Caste	1	4	0	0	0
Javier Heraud Revolutionary Commando	1	0	0	1	1
Jaysh al-Muslimin (Army of the Muslims)	2	0	0	2	1
Jemaah Islamiya (JI)	73	339	1195	9	0.123287671232877
Jenin Martyrs Brigades	1	0	2	0	0
Jerusalem Groups Hebrew (Qvutzot Yerushalayim)	1	3	40	0	0
Jewish Armed Resistance	19	2	2	12	0.631578947368421
Jewish Combat Organization	1	0	0	0	0
Jewish Committee of Concern	3	0	0	3	1
Jewish Defenders	1	0	0	0	0
Jewish Defense League (JDL)	80	4	61	47	0.5875
Jewish Defense Organization	1	0	0	0	0
Jewish Direct Action	1	0	0	1	1
Jewish Extremists	29	7	18	6	0.206896551724138
Jewish Fighting Organization (Eyal)	1	1	1	0	0
Jewish Terror	10	0	4	6	0.6
Jharkhand Liberation Tigers (JLT)	5	8	11	0	0
Jharkhand Tribal Forces	2	0	0	0	0
Jihad Brigades	1	0	0	1	1
Jihad Islamic League Front	1	4	27	0	0
Jihadi Movement of the Sunna People of Iran	1	12	200	0	0
Jihadist Soldiers	1	32	53	0	0
Joint Meeting Parties (JMP)	1	4	12	0	0
Joint Palestinian leftist organization	1	0	0	0	0
Jonathan Jackson Brigade	1	4	2	0	0
Jordanian Islamic Resistance	2	0	3	2	1
Jordanian Masses Organization	1	0	0	1	1
Jordanian National Liberation Movement	1	0	0	1	1
Jordanian Revolutionary and Military Committee (MOUAB)	2	0	0	2	1
Jorge Eliecer Gaitan Nationalist Movement	2	0	0	0	0
Jorge Martinez Association of Combatants	1	0	0	0	0
Jose Benito Escobar Workers Federation	1	0	0	0	0
Juan Antonio Lavalleja Command	1	0	0	0	0
Juan Rayo Guerilla Group	1	0	0	0	0
Juarez Cartel (Carrillo-Fuentes / Mexico)	1	0	0	0	0
July 14 Movement	1	0	1	0	0
Junaid Jihadist Battalion	1	0	0	1	1
Jund al-Sahabah Group	1	31	40	0	0
Jund al-Sham for Tawhid and Jihad	6	6	21	0	0
Jund Al-Tawid	1	0	6	0	0
Jundallah	16	191	475	0	0
June 16 Organization	1	0	0	1	1
Just Punishment Brigades	1	1	1	0	0
Justice and Equality Movement (JEM)	12	251	15	4	0.333333333333333
Justice and Liberty Warriors	1	0	0	1	1
Justice Army for Defenseless Peoples	1	4	0	0	0
Justice Commandos for the Armenian Genocide	47	35	25	38	0.808510638297872
Justice Guerrillas	1	0	0	0	0
Justice Party	1	1	0	0	0
Kabataang Makabayan (KM)	1	0	0	1	1
Kabul Government Agents	1	17	18	0	0
Kach	12	11	27	6	0.5
Kachin Independence Army (KIA)	13	57	179	0	0
Kachin Insurgents	2	36	0	0	0
Kahane Chai	2	0	0	2	1
Kaingang Indians	1	0	0	0	0
Kaitseliit Paramiltary Group	1	0	1	1	1
Kaka-Tribesmen	2	10	14	0	0
Kalpar Tribesmen	2	5	14	0	0
Kamajor Hunters	2	15	0	0	0
Kamal Boulander Group	1	2	1	0	0
Kamal Udwan Unit of Palestinians	1	1	5	1	1
Kampuchean Peoples National Liberation Army	1	3	0	0	0
Kamtapur Liberation Organization (KLO)	3	8	17	0	0
Kanak Separatists	4	18	4	4	1
Kanak Socialist National Liberation Front	5	4	6	3	0.6
Kanakas	2	1	1	1	0.5
Kanglei Yawol Kanna Lup (KYKL)	9	21	58	0	0
Kangleipak Communist Party (KCP)	30	6	15	0	0
Kara clan	1	7	10	0	0
Karabulak Gang	1	2	3	0	0
Karamojong Warriors	3	4	9	0	0
Karamyit Singh	1	2	0	0	0
Karbi Longri National Liberation Front (KLNLF)	2	4	2	0	0
Karbi Longri North Cachar Liberation Front (KLNLF)	15	10	78	0	0
Karbi National Volunteers (KNV)	3	15	13	0	0
Karbi People's Liberation Tigers (KPLT)	7	7	20	0	0
Karbi Tribe	1	1	6	0	0
Karen Insurgents	21	123	90	3	0.142857142857143
Karen National Union	79	219.999999999	619	3	0.0379746835443038
Karenni National Progressive Party	3	15	7	0	0
Karnataka State Farmers Association	1	0	0	1	1
Kashmir Freedom Force	1	0	36	0	0
Kashmiri Hizballah	3	3	0	0	0
Kashmiri Militants	76	245	176	1	0.0131578947368421
Kata'ib al-Khoul	2	2	1	0	0
Katap Ethic Group	1	10	0	0	0
Katsina Muslim Society	1	0	0	0	0
Katsuhisa Omori	2	0	1	2	1
Kawal ng Pilipinas (Soldier of the Philippines)	1	0	0	0	0
Kentavros	1	0	0	1	1
Kenya African National Union (KANU)	5	5	8	0	0
Kenyan rebels from Uganda	1	2	0	0	0
Keshet	7	0	0	0	0
Khalid ibn Walid	1	23	42	0	0
Khalid ibn Walid Brigade	1	0	0	1	1
Khalistan Commando Force	20	118	117	0	0
Khalistan Liberation Force	15	125	148	0	0
Khalistan Zindabad (Long Live Khalistan)	2	10	64	0	0
Khasi Students Union	2	1	0	0	0
Khmer Bandits	2	0	0	1	0.5
Khmer Rouge	160	361	312	35	0.21875
Khmer Serei Guerrillas	1	1	0	0	0
Khomeynites	1	0	0	1	1
Khorasan jihadi group	2	3	0	0	0
Khristos Kasimis	5	0	0	4	0.8
Khumbuwan Mukti Morcha	2	0	15	0	0
Khun Sa Guerrillas	5	3	3	0	0
Kidnapping gang	1	1	1	0	0
Kim Pyongnil Supporters	1	3	4	0	0
King Street	1	0	0	0	0
Kirat Janabadi Workers Party	5	0	6	0	0
Kisan Indian Organization	7	8	0	0	0
Kisar Liberation Movement	1	0	0	0	0
Kisii Activists	1	4	0	0	0
Koetoh Reh	1	0	1	0	0
Kokang	1	34	0	0	0
Kolla Benjo Cruz Command	2	0	0	0	0
Komando Jihad (Indonesian)	1	4	0	0	0
Korea Univ. Students	1	1	0	0	0
Korean Youth League	1	1	0	0	0
Koreans	2	0	0	2	1
Korubo Tribe	1	1	0	0	0
Kosovo Liberation Army (KLA)	54	45	101	47	0.87037037037037
Kotoko Tribal Group	2	19	6	0	0
Krause Group	2	0	0	2	1
Krikapi Indians	1	0	0	0	0
Ku Klux Klan	23	7	27	0	0
Kuki Liberation Army (KLA)	4	0	0	1	0.25
Kuki National Army (KNA)	3	6	8	0	0
Kuki National Front (KNF)	2	1	0	0	0
Kuki National Liberation Front (KNLF)	1	0	0	0	0
Kuki Revolutionary Army (KRA)	3	11	0	0	0
Kuki Tribal Militants	1	37	0	0	0
Kuki tribesmen	5	58	30	0	0
Kuna Indians	7	1	2	1	0.142857142857143
Kurdish Democratic Party-Iran (KDP)	4	15	0	0	0
Kurdish Democratic Party-Iraq (KDP)	9	64	102	4	0.444444444444444
Kurdish demonstrators	1	0	0	0	0
Kurdish Dissidents	10	0	0	10	1
Kurdish guerrillas	3	5	1	0	0
Kurdish Independence Group (name unk)	1	0	1	1	1
Kurdish Islamic Unity Party	1	2	30	0	0
Kurdish Marxist Separatists	1	4	2	0	0
Kurdish Militants	16	0	0	12	0.75
Kurdish Oppositionists	1	8	0	0	0
Kurdish Peshmerga Guerrillas	1	1	0	0	0
Kurdish Protestors	2	0	0	2	1
Kurdish Rebels	7	38	22	0	0
Kurdish Separatists	10	6	7	4	0.4
Kurdish Sympathizers	5	0	0	5	1
Kurdistan Free Life Party	9	47	8	0	0
Kurdistan Freedom Hawks (TAK)	13	2	71	0	0
Kurdistan National Union	2	0	0	2	1
Kurdistan Workers' Party (PKK)	1226	3602	2085	172	0.140293637846656
Kurds	17	49	34	8	0.470588235294118
Kyongbuk University Dental College Students	1	0	0	1	1
La Paz peasants federation	1	0	0	0	0
Labor Union Leaders	1	0	0	0	0
Laiq Chanio Group of Dacoit Bandits	1	1	0	0	0
Landless Peasants' Movement (MST)	7	5	0	0	0
large group	1	1	1	0	0
Lashkar-e-Balochistan	2	0	2	0	0
Lashkar-e-Islam (Pakistan)	35	46	44	1	0.0285714285714286
Lashkar-e-Jhangvi	33	419	777	0	0
Lashkar-e-Omar	2	28	51	1	0.5
Lashkar-e-Taiba (LeT)	98	763	1596	2	0.0204081632653061
Lashkari-e-Adam (Army of Adam)	1	0	0	0	0
Laskar Jihad	7	12.000000002	8	0	0
Last Alternative Guerrilla Front	1	0	0	0	0
Last Generation	1	0	0	0	0
Latin America Anti-Communist Army (LAACA)	4	0	0	1	0.25
Latin American Anti-Fascist Command	3	0	0	0	0
Latvian Republic Volunteer Troops	1	0	1	1	1
Lavalas Supporters	1	2	0	0	0
League of Communists	2	0	0	0	0
League of French Fighters Against Jewish Occupation	1	0	0	0	0
League of the 18	1	0	0	1	1
Lebanese and Palestinian Resistance Fighters	1	1	1	0	0
Lebanese Arab Army	1	0	0	0	0
Lebanese Armed Revolutionary Faction (LARF)	8	3	8	8	1
Lebanese Free Will Movement	1	4	6	0	0
Lebanese Liberation Front	7	7	27	4	0.571428571428571
Lebanese male	1	0	0	1	1
Lebanese Man	1	0	0	0	0
Lebanese National Resistance Front	26	58	47	18	0.692307692307692
Lebanese Resistance Group	1	3	5	1	1
Lebanese Secret Army	1	1	14	0	0
Lebanese Socialist Revolutionary Organization	4	4	3	4	1
Lebanese Terrorist Group	1	0	0	1	1
Left wing activists	1	0	0	0	0
Left wing student group	1	0	5	0	0
Left-Wing Demonstrators	6	0	2	3	0.5
Left-Wing Extremists	13	21	11	4	0.307692307692308
Left-Wing Guerrillas	127	341	195	7	0.0551181102362205
Left-Wing Militants	176	7	24	1	0.00568181818181818
Left-wing separatists	1	1	9	0	0
Left-Wing Terrorists	50	71	88	2	0.04
Left-Wing Workers	3	0	17	0	0
leftist guerrillas-Bolivarian militia	1	0	0	0	0
Leftist youths	1	1	5	0	0
Lesotho Liberation Army (LLA)	12	19	12	2	0.166666666666667
Libardo Moratoro Front	1	0	0	0	0
Liberation and Justice Movement (LJM)	1	2	1	0	0
Liberation Army for Presevo, Medvedja and Bujanovac (Ushtria Çlirimtare e Preshevës, Medvegjës dhe Bujanocit - UCPMB)	2	0	1	2	1
Liberation Battalion	1	1	1	1	1
Liberation Commando Rudolf Hess	1	0	0	1	1
Liberation Front of Southern Sudan	1	0	0	1	1
Liberation Front of the Senegalese People	1	0	0	0	0
Liberation Hawks	1	1	0	1	1
Liberation Tigers of Tamil Eelam (LTTE)	1606	10946	10967	114	0.0709838107098381
Liberation War Veterans Association	1	1	0	0	0
Liberation Youth Coordinating Board	1	0	0	1	1
Liberia Peace Council	1	1	0	0	0
Liberian Rebel Group	1	0	0	1	1
Liberians United for Reconciliation and Democracy (LURD)	6	4	0	1	0.166666666666667
Libyan	4	274	7	4	1
Libyan Students	2	1	0	2	1
Libyan Students (Sponsored by Qadaffi Regime)	1	1	0	1	1
Liga Agraria Campesina	1	0	0	0	0
Likud Political Party	3	0	2	0	0
Lithuanian Land Guard	1	0	0	1	1
Local Extremist	1	0	1	1	1
Local landlord employee	1	1	1	0	0
Local Residents	1	6	0	0	0
Lolita Lebron Puerto Rican Liberation Command	1	0	0	0	0
Lone Jew	1	0	1	1	1
Long-time Muslim immigrants from Bangladesh	5	0	0	0	0
Lord's Resistance Army (LRA)	227	2644.99999998	538	16	0.0704845814977974
Lorenzo Zelaya Revolutionary Front (LZRF)	40	25	24	17	0.425
Los Barriales	1	0	7	0	0
Loyalist Action Force	1	0	1	0	0
Loyalist Volunteer Forces (LVF)	26	10	16	7	0.269230769230769
Lufa Tribesmen	1	2	6	0	0
Luis Boitel Commandos	9	0	0	2	0.222222222222222
LW	1	0	0	0	0
Lybyan-Backed Group against opponents of Qadaffi	1	0	0	1	1
M-19 (Movement of April 19)	554	1323	502	45	0.0812274368231047
M-19 Splinter	1	0	0	1	1
M-5	2	0	1	0	0
M-7	2	0	0	2	1
M12J	1	0	0	1	1
Maasai	1	3	4	0	0
Maccabee Squad and the Shield of David	2	0	0	0	0
Macedonian nationalists	1	0	1	1	1
Macetos (Paramilitary Group)	1	7	0	0	0
Macheteros	37	6	9	23	0.621621621621622
Macoute sympathizers	2	2	0	2	1
Madhesh Mukti Sangram (MMS)	1	0	0	1	1
Madhesh Rastra Janatantrik Revolutionary (RJR) - Nepal	3	3	0	0	0
Madhesi Mukti Tigers (MMT)	6	1	7	1	0.166666666666667
Madhesi People’s Rights Forum (MPRF)	3	5	7	0	0
Madhesi Virus Killers	1	0	6	0	0
Mafia	9	17	9	0	0
Mahan Madhesh Janakantri Party (MMJP)- Nepal	4	0	1	1	0.25
Mahaz-e-Inquilab	3	60.99999999	0	0	0
Mahaz-e-Milli Islami Afghanistan	1	2	4	0	0
Mahdaviyat	1	1	5	0	0
Mahdi Army	18	57	145	3	0.166666666666667
Mahidi	1	1	1	0	0
Mahir Cayan Suicide Group	1	0	0	1	1
Mahsud Tribe	1	0	3	0	0
Majerten clansmen	1	2	0	0	0
Major Muhammad Zuhnyn Group	1	0	0	0	0
Malaysian Communist Party	2	3	0	0	0
Mali students	1	0	0	1	1
Malitia-Pro Govt	1	2	0	0	0
Manatari Brotherhood	1	1	0	1	1
Mandela Soccer Club	1	1	2	0	0
Mano Blanca	5	0	0	1	0.2
MANO-D	1	1	0	0	0
Manuel Ascencio Padilla Group	1	0	0	0	0
Manuel Gonzales Patriotic Front	2	0	0	0	0
Manuel Jose Arce Commando	6	1	6	0	0
Manuel Rodriguez Patriotic Front (FPMR)	830	93	304	40	0.0481927710843374
Maoist Communist Center (MCC)	35	226	63	0	0
Maoist Farm Laborers Struggle Committee (MXSS)	1	6	0	0	0
Maoists	276	826	648	5	0.0181159420289855
Maori	1	0	0	0	0
Marhan Clan	1	0	0	1	1
Mariano Moreno National Liberation Commando	3	0	0	3	1
Martyr Abu Ja'far Group	2	76	0	1	0.5
Martyr Ahmad Alishuay B Group	1	0	0	0	0
Martyr Ali Nasir group	1	2	1	1	1
Martyr Riyad Taha Group	1	0	0	1	1
Martyr Sami al-Ghul Brigades	1	0	0	0	0
Martyrs Halim Group	1	0	7	1	1
Martyrs of Baalbek	1	0	0	0	0
Martyrs of La Talanguera	2	0	0	0	0
Martyrs of Saad Sayel	1	0	0	1	1
Martyrs of Tell Al-Zaltar	1	0	0	0	0
Martyrs revenge organization	1	0	0	1	1
Maruseido (Marxist Youth League)	2	0	7	2	1
Marxist Peoples Fedayeen of Iran	1	0	0	1	1
Marxist Resistance Movement	1	0	0	0	0
Marxist-Leninist Armed Propaganda Unit	6	8	9	4	0.666666666666667
Marxists	15	13	1	3	0.2
Masada, Action and Defense Movement	1	0	0	1	1
Maskini Liberation Front	3	27	100	0	0
Massive escape	1	0	0	0	0
Matan Abdulle	1	5	6	0	0
Maximiliano Gomez Revolutionary Brigade	14	7	0	0	0
Maximiliano Hernandez Martinez Brigade	7	17	6	0	0
May 15	1	0	0	0	0
May 15 Organization for the Liberation of Palestine	9	3	46	8	0.888888888888889
May 19 Communist Order	20	1	2	2	0.1
May 36	1	0	0	0	0
May 98	2	0	0	0	0
Mayi Mayi	14	56	57	6	0.428571428571429
Mazari Tribesmen	1	0	0	0	0
Mazdoor Kisan Sangram Samiti (MKSS)	1	4	0	0	0
Medellin Drug Cartel	3	19	11	0	0
Meibion Glyndwr	31	0	1	0	0
Meinhof-Puig-Antich Group	5	0	0	4	0.8
Meitei extremists	1	4	0	0	0
Mercenaries	2	0	0	1	0.5
Merille Militia	2	4	0	0	0
Mesopotamian Army (MEZOR)	1	0	0	0	0
Mexican Revolutionary Movement	1	0	0	0	0
Mexican Students	1	0	0	1	1
Miguel Angel Cabrera Command	1	1	0	0	0
Miguel d'Escoto Brockman Community Movement	1	0	0	0	0
Mikhail Kaltezas Anarchist Organization	1	0	0	0	0
Milicias Rodriguistas	4	0	0	4	1
Militant Argentine Patriots	1	0	0	1	1
Militant Cells	1	0	0	0	0
Militant Forces Against Huntingdon	1	0	0	1	1
Militant Islamic Group, name not stated	1	1	0	0	0
Militant Moslem Pilgrims	1	0	50	0	0
Militant Movement for Madagascan Socialism (MMSM)	1	8	40	0	0
Militant Organization of Russian Nationalists	1	1	1	1	1
Militant Peasants (NFI)	2	6	40	0	0
Militant Welsh	1	0	0	0	0
Militant Zionist Resistance Movement	1	0	0	1	1
Militants	77	146	138	0	0
Militants of the National Action Party	1	0	0	0	0
Military Council for the True Liberation of Albania	1	0	0	1	1
Military Liberation Front of Colombia	1	0	0	1	1
Militia Members	12	43	21.000000001	2	0.166666666666667
MILPAS Contras	1	1	1	0	0
Miners	2	0	10	0	0
Minority Unity Forum	1	1	0	0	0
Minutemen American Defense	1	2	1	0	0
Miscreants	5	1	19	0	0
Miskito Indian Organization	4	13	1	1	0.25
Misseriya Arab Tribesmen	1	10	18	0	0
Misurasata Indian Organization	34	270	20	2	0.0588235294117647
Mizo National Front	14	24	7	0	0
MLA	1	0	0	1	1
Mlada Bosna	1	0	0	1	1
MNR of the Left	1	0	0	1	1
Mob	7	0	0	4	0.571428571428571
Modakeke Ethnic Activists	2	35	0	0	0
Modakeke Ethnics	4	64	0	0	0
Mohajir National Movement	9	31	7	0	0
Mon Guerrillas	4	78	28	0	0
Mon Insurgents	4	0	22	0	0
Mong Thai Army (MTA)	2	13	0	0	0
Mongolian Mukti Morcha	1	1	0	0	0
Montoneros (Argentina)	116	212	133	49	0.422413793103448
Montoneros Patria Libre	5	0	0	0	0
Morazanist Front for the Liberation of Honduras (FMLH)	6	31	7	1	0.166666666666667
Mormon Extremist	1	0	0	0	0
Moro Islamic Liberation Front (MILF)	334	718	1476	11	0.0329341317365269
Moro National Liberation Front (MNLF)	183	621	858	17	0.092896174863388
Moro National Liberation Front Splinter group	1	1	0	0	0
Moslem Activists	51	146	28	2	0.0392156862745098
Moslem Janbaz Force	3	4	6	1	0.333333333333333
Moslem Liberation Front	1	1	0	1	1
Moslem opponents of Gemayel	1	9	24	0	0
Moslem Paramilitary Group	1	0	0	0	0
Motherland Party	1	1	5	0	0
Mouhajiroune Brigade	1	2	0	0	0
Mousa Ismail sub-clan	1	0	0	1	1
Movement for Cuban Justice (Pragmatistas)	1	1	0	0	0
Movement for Democracy and Development (MDD)	1	0	0	1	1
Movement for Democracy and Justice in Chad (MDJT)	2	77	0	0	0
Movement for Democratic Change (MDC)	3	0	14	0	0
Movement for Dignity and Soverignty	1	0	0	1	1
Movement for Rebuilding Fatah	1	1	2	1	1
Movement for Self-Determination	1	1	1	1	1
Movement for the Actualization of the Sovereign State of Biafra (MASSOB)	3	16	2	0	0
Movement for the Emancipation of the Niger Delta (MEND)	67	256	71	34	0.507462686567164
Movement for the Protection of Jerusalem	1	0	2	0	0
Movement for the Supremacy of Reason	1	0	0	0	0
Movement for Triqui Unification and Struggle	1	4	0	0	0
Movement of Democratic Forces of Casamance	67	206	216	1	0.0149253731343284
Movement of Islamic Action of Iraq	2	1	26	2	1
Movement of Niger People for Justice (MNJ)	9	37	55	3	0.333333333333333
Movement of the Islamic State (MEI)	1	11	0	0	0
Movement of the Revolutionary Left (MIR) (Bolivia)	1	0	0	0	0
Movement of the Revolutionary Left (MIR) (Chile)	306	45	86	7	0.0228758169934641
Movement of the Revolutionary Left (MIR) (Peru)	7	2	0	3	0.428571428571429
Movement of the Revolutionary Left (MIR) (Venezuela)	2	0	0	1	0.5
